PPIN,ISR,OOS,INACTIVE
33,1,.,.
44,1,.,.
55,1,.,.
77,1,.,.
88,1,.,.
124,1,.,.
135,1,.,.
146,1,.,.
179,1,.,.
204,2,.,.
226,1,.,.
237,1,.,.
292,3,2,1
306,1,.,.
372,2,.,.
474,1,.,.
496,1,.,.
532,1,.,.
543,1,.,.
576,1,.,.
598,1,.,.
634,1,.,.
645,1,.,.
714,1,.,.
758,2,.,.
769,1,.,.
816,1,.,.
827,3,2,1
849,2,.,.
871,1,.,.
882,1,.,.
929,1,.,.
962,1,.,.
973,1,.,.
995,1,.,.
1015,3,7,.
1026,1,.,.
1183,1,.,.
1208,1,.,.
1321,1,.,.
1332,1,.,.
1354,1,.,.
1376,3,3,1
1398,1,.,.
1401,2,.,.
1412,1,.,.
1445,1,.,.
1478,1,.,.
1503,1,.,.
1536,2,.,.
1547,2,.,.
1558,1,.,.
1569,1,.,.
1591,2,.,.
1605,1,.,.
1616,1,.,.
1682,2,.,.
1693,1,.,.
1729,2,.,.
1751,1,.,.
1853,1,.,.
1864,1,.,.
1897,1,.,.
1933,1,.,.
1944,1,.,.
2063,2,.,.
2096,2,.,.
2154,1,.,.
2165,2,.,.
2176,1,.,.
2198,1,.,.
2201,2,.,.
2234,1,.,.
2278,1,.,.
2289,1,.,.
2314,3,5,.
2358,1,.,.
2391,2,.,.
2405,1,.,.
2507,1,.,.
2518,1,.,.
2551,1,.,.
2722,1,.,.
2788,1,.,.
2799,1,.,.
2802,2,.,.
2835,2,.,.
3001,1,.,.
3078,2,.,.
3216,1,.,.
3271,1,.,.
3329,1,.,.
3384,1,.,.
23582,3,5,.
23607,2,.,.
23629,1,.,.
23866,2,.,.
23924,1,.,.
23935,1,.,.
23968,1,.,.
24021,1,.,.
30873,1,.,.
30884,1,.,.
30909,1,.,.
30931,1,.,.
30942,1,.,.
30953,1,.,.
30964,1,.,.
30975,3,3,1
30997,2,.,.
31006,1,.,.
31039,1,.,.
31061,1,.,.
31094,1,.,.
31108,1,.,.
31163,2,.,.
31185,1,.,.
31232,1,.,.
31243,1,.,.
31254,1,.,.
31265,1,.,.
31276,1,.,.
31287,1,.,.
31298,1,.,.
31301,1,.,.
31334,1,.,.
31345,1,.,.
31356,2,.,.
31367,1,.,.
31378,1,.,.
31389,1,.,.
31403,1,.,.
31414,1,.,.
31425,1,.,.
31458,1,.,.
31469,1,.,.
31491,1,.,.
31505,1,.,.
31651,1,.,.
31662,1,.,.
31695,1,.,.
31731,1,.,.
31753,1,.,.
31764,1,.,.
31811,1,.,.
31833,1,.,.
31844,1,.,.
32043,1,.,.
32054,2,.,.
32065,1,.,.
32076,1,.,.
32101,2,.,.
32134,3,7,1
32145,2,.,.
32156,1,.,.
32269,1,.,.
32542,3,2,1
32622,1,.,.
32677,1,.,.
32746,3,2,1
32848,1,.,.
32859,1,.,.
32939,1,.,.
32961,1,.,.
33003,2,.,.
33047,1,.,.
33193,1,.,.
33218,1,.,.
33331,1,.,.
47683,1,.,.
47708,1,.,.
47741,1,.,.
47763,3,3,1
47796,1,.,.
47821,3,2,1
47832,2,.,.
47854,1,.,.
47865,3,2,1
47876,1,.,.
47887,1,.,.
47898,3,2,1
47912,1,.,.
47923,1,.,.
47956,1,.,.
47967,1,.,.
47978,1,.,.
48009,1,.,.
48031,1,.,.
48075,1,.,.
48188,3,2,.
48202,1,.,.
48213,2,.,.
48235,2,.,.
48257,1,.,.
48268,1,.,.
48315,1,.,.
48326,2,.,.
48337,1,.,.
48359,1,.,.
48483,1,.,.
48541,2,.,.
48654,1,.,.
48698,1,.,.
48803,1,.,.
48847,1,.,.
48971,1,.,.
48982,1,.,.
68579,1,.,.
68604,1,.,.
68615,1,.,.
68626,1,.,.
68637,1,.,.
68648,1,.,.
68659,1,.,.
68681,1,.,.
68706,1,.,.
68717,1,.,.
68739,2,.,.
68761,1,.,.
68772,2,.,.
68783,1,.,.
68794,1,.,.
68819,1,.,.
68841,1,.,.
68852,1,.,.
68863,1,.,.
68874,1,.,.
68885,1,.,.
68896,1,.,.
68921,2,.,.
68932,2,.,.
68943,1,.,.
68954,1,.,.
68976,3,2,.
68987,1,.,.
68998,1,.,.
69007,1,.,.
69018,1,.,.
69029,3,3,1
69051,1,.,.
69073,1,.,.
69084,1,.,.
69153,3,2,.
69164,1,.,.
69186,1,.,.
69197,1,.,.
69222,1,.,.
69233,1,.,.
69244,1,.,.
69255,1,.,.
69277,1,.,.
69299,1,.,.
69302,1,.,.
69313,1,.,.
69324,1,.,.
69335,2,.,.
69346,1,.,.
69368,1,.,.
69379,1,.,.
69404,1,.,.
69415,1,.,.
69426,2,.,.
69437,1,.,.
69459,3,2,.
69481,1,.,.
69492,1,.,.
69506,1,.,.
69517,1,.,.
69528,3,2,.
69539,1,.,.
69561,1,.,.
69572,1,.,.
69583,2,.,.
69594,3,2,.
69619,1,.,.
69641,1,.,.
69652,1,.,.
69663,2,.,.
69685,1,.,.
69696,2,.,.
69721,1,.,.
69732,1,.,.
69743,1,.,.
69754,1,.,.
69765,1,.,.
69776,1,.,.
69787,1,.,.
69801,1,.,.
69812,1,.,.
69823,2,.,.
69845,1,.,.
69856,1,.,.
69878,1,.,.
69903,1,.,.
69914,1,.,.
69925,1,.,.
69947,1,.,.
69958,1,.,.
69991,1,.,.
70001,1,.,.
70012,1,.,.
70023,1,.,.
70034,1,.,.
70045,3,2,.
70056,2,.,.
70078,1,.,.
70089,1,.,.
70103,1,.,.
70114,1,.,.
70125,1,.,.
70136,2,.,.
70147,1,.,.
70158,1,.,.
70169,1,.,.
70191,1,.,.
70216,1,.,.
70282,1,.,.
70293,1,.,.
70307,2,.,.
70318,1,.,.
70373,1,.,.
70384,1,.,.
70395,2,.,.
70431,1,.,.
70442,2,.,.
70453,1,.,.
70464,1,.,.
70475,1,.,.
